推,噓,分數,作者,標題,時間
0,1,-1,ryohgi (青蛙錢包),[問卦] 有沒有人是「神關我屁事論者」,Sun Nov  1 11:27:09 2020
8,2,6,onepunchgg (onepunchgg),[問卦] A片網站影片設私人的人都是什麼心態= =,Sun Nov  1 10:57:03 2020
1,0,1,teeo (teeo),[問卦] 要怎樣站方才會開放註冊？,Sun Nov  1 01:39:15 2020
6,2,4,nk11208z (小魯),[問卦] 川普的Twitch沒人看了?,Sun Nov  1 02:20:15 2020
3,0,3,reticentcrow (沉默鴉),[問卦] 台灣為什麼疫情控制的那麼好,Sun Nov  1 10:42:15 2020
6,1,5,chonger (快樂人生),[問卦] 過年沒年味，但西方節日一堆活動,Sun Nov  1 00:38:00 2020
1,0,1,DALUGI (大陸雞),[問卦] 有沒有日本nissan的八卦?,Sun Nov  1 00:25:13 2020
0,1,-1,Kumasa (能不能畢業呢),[問卦] Gay是上帝創造的嗎？,Sun Nov  1 10:39:04 2020
18,4,14,taipei5566 (臺北56),[問卦] 大馬會對台灣開戰嗎？,Sun Nov  1 00:59:18 2020
209,3,206,twfir (N),[問卦] 日本居家住宅都用木頭建造算落後國家嗎??,Sun Nov  1 01:17:13 2020
3,8,-5,Lawleit (大員郭奉孝),[問卦] 「2020年怎麼了？」？,Sun Nov  1 09:22:19 2020
2,0,2,rafe (Out of the hole),[新聞] 美國大選出包 川普票倉賓州遺失上萬張,Sun Nov  1 06:30:48 2020
1,9,-8,joshddd (econ_apprentice),[問卦] 可以找三個法官同時判決嗎？,Sun Nov  1 01:21:35 2020
7,7,0,Emerson158 (紅豆 X 八嘎 X 烏魯賽),[問卦] 為何常有人衝康鬼金棒拉麵阿==?,Sun Nov  1 04:33:44 2020
3,0,3,hcn368 (私巴達),[新聞] 愛女遭擄殺客死他鄉...母盼嫌被判絞刑「,Sun Nov  1 03:04:03 2020
4,0,4,HappyDiD (開心的動一動),[問卦] 衣服洗成荷葉邊還會穿嗎？,Sun Nov  1 06:57:01 2020
8,5,3,moneybuy (),[問卦] 鬼滅之刃無限列車過譽嗎?,Sun Nov  1 00:26:58 2020
10,0,10,EggXBlueSky (laughTree),[問卦] 25歲薪水應該多少？,Sun Nov  1 02:43:20 2020
6,0,6,doro0202 (Doro),[問卦] 線上博弈這麼夯怎麼不實體化？,Sun Nov  1 00:56:08 2020
15,1,14,joynet0306 (Joe),[情報] 徵求行車記錄器,Tue Oct 27 12:44:53 2020
4,3,1,nemies (...),[問卦] 網友告訴我一個秘密,Sun Nov  1 00:50:25 2020
7,1,6,bbob (小海),[問卦] 有錢人玩的什麼興趣大家最想嘗試看看?,Sun Nov  1 09:59:36 2020
9,1,8,bamama56 (bamama),[問卦]  盡情揮灑自己的色彩 年輕不要留白,Sun Nov  1 07:48:15 2020
15,12,3,hoyumi (正版型男...無誤!!!),[新聞] 扯！載屍加油沒錢 嫌竟拿女大生手機抵債,Sun Nov  1 01:42:10 2020
3,1,2,shala (沙羅是轉換後的文字檔打m),[問卦] 每年股利500萬是甚麼感覺?,Sun Nov  1 10:03:07 2020
5,5,0,saufu08 (saufu),[問卦] 犯下姦殺真不怕女鬼回來報仇？,Sun Nov  1 10:32:45 2020
1,3,-2,Lumial020 (廢貓文專用帳號),[問卦] 乙級諾卡達？,Sun Nov  1 01:07:09 2020
3,6,-3,SWS7983 (G坂本),[問卦] 嗚嗚是在嗚什麼意思？,Sun Nov  1 09:47:12 2020
3,0,3,Pixma258 (鄉民們!別爭了!!),[問卦] 台灣藝人誰適合演佐為？,Sun Nov  1 11:21:31 2020
7,11,-4,chen5566 (文心),[問卦] 為什麼殺害歹徒有罪？,Sun Nov  1 00:51:54 2020
3,1,2,lauwei (lauwei),[問卦] 跟台南的台男交往要注意什麼？,Sun Nov  1 11:25:37 2020
9,2,7,singking (),[問卦] 在公共泳池游仰式的在想什麼？,Sun Nov  1 11:03:23 2020
0,9,-9,gentleman888 (),[新聞] 蘇起憂民進黨 營造獨尊台獨言論市場,Sun Nov  1 09:03:22 2020
5,0,5,akanishiking (arnold jackson),[問卦] 萬聖節最簡單的cosplay是不是麥可麥爾斯,Sun Nov  1 09:18:28 2020
0,0,0,redspeed (RED),[問卦] 真的有那麼多沾血棋盤可以撿?,Sun Nov  1 11:35:01 2020
5,0,5,samuelcmm (黃宏誠天空之誠世界猥瑣),[問卦] 有法官家人被殺的八卦嗎？,Sun Nov  1 09:02:03 2020
2,0,2,yahoo3936 (老唐 是你?),[問卦] 預算五萬 新手入門卡打車怎麼買,Sun Nov  1 09:55:32 2020
3,1,2,sunskies (suica card),[問卦] 小六女生真的會喜歡這種車？,Sun Nov  1 07:55:05 2020
15,14,1,iamgaylan (),[問卦] 大家覺得這些人數前五的國家治安好嗎,Sun Nov  1 08:20:20 2020
6,0,6,willyover (烤肉!),[問卦] 跟風老警察吃案,Sun Nov  1 09:03:30 2020
10,3,7,kawhidurantt (kawhi durant),[問卦] 希望川川當選,Sun Nov  1 09:11:59 2020
2,0,2,WORLDKING56 (王者中間五六),[問卦] 慶記擄人之都是不是換人了？,Sun Nov  1 09:17:40 2020
4,6,-2,wang1b (唯i廢文<3),[問卦] 拉麵的海苔是幹嘛的？,Sun Nov  1 01:16:56 2020
1,1,0,sleepyuan (文源),[問卦] 在以色列總理辦公室做愛怎樣?,Sun Nov  1 08:48:49 2020
7,0,7,abiese05 (AB),[問卦] 菲律賓人現在在想什麼,Sun Nov  1 08:28:23 2020
14,4,10,joanzkow (星浪),[新聞] 金馬導演張毅病逝！享壽69歲,Sun Nov  1 10:27:49 2020
1,3,-2,amilkamilk (),[問卦] 是不是完全不能反對同志？,Sun Nov  1 08:01:26 2020
3,0,3,herbert0716 ((っ・ω・)っ),[問卦] 有沒有XP娘的八卦？,Sun Nov  1 10:37:52 2020
2,1,1,rockon15 (水之呼吸－炭治郎),[問卦] 晴女的生意有搞頭嗎？,Sun Nov  1 09:12:23 2020
4,0,4,sodistrues (true),[問卦]跟美波合拍廣告的櫻花妹在日本人氣算高？,Sun Nov  1 09:29:08 2020
32,10,22,frzqp3814396 (咩咩咩咩咩),[問卦] 歐美人士只要喊愛台灣就有飯吃？,Sun Nov  1 05:34:54 2020
6,2,4,kid725 (凱道基德),[新聞] 馬籍女學生遇害案 蘇貞昌道歉 要求改善治安,Sun Nov  1 03:02:34 2020
27,3,24,EXGG (皮蛋榴槤),[問卦] 泱泱真的是天然呆傻大姊嗎？！,Sun Nov  1 02:04:09 2020
5,3,2,taiwannext (2016綠營重新執政 ),[問卦] 馬來西亞華人比較多學中文簡體字？ ,Sun Nov  1 09:51:14 2020
0,1,-1,b777787 (想不到8),[新聞] 貧窮線將升 北市25K列中低收入戶,Sun Nov  1 09:55:32 2020
17,9,8,obov5116 (慶記市第一金城武尊),[問卦] 168斷食，一直睡不著？,Sun Nov  1 03:05:25 2020
2,0,2,z1976 (z1976),[問卦] 請問租車好還是買車好?,Sun Nov  1 06:39:53 2020
0,0,0,icefish712 (冰魚),[問卦] 女生問你在幹嘛 ,Sun Nov  1 11:32:17 2020
2,6,-4,happysingle (happysingle0803),[問卦] 夜店都玩這麼嗨嗎？,Sun Nov  1 11:22:48 2020
0,0,0,Hivwing (飛羽),[新聞] 拜登民調持續領先《華爾街日報》：民主黨,Sun Nov  1 11:33:19 2020
1,1,0,yangzy (亞瑟),[新聞] 酸蘇貞昌失智！柯文哲拒道歉：別裝傻,Sun Nov  1 11:16:04 2020
3,8,-5,ivorysoap (ivorysoap),[新聞] 不甘被男醫要求肉償賭債 女護士殺人烹屍被判死刑,Sun Nov  1 01:14:18 2020
4,0,4,aurior (ari),[新聞] 王隆昌獲北科大校務發展卓越貢獻獎,Sun Nov  1 10:41:53 2020
9,0,9,hushiang (我練功發自真心),[問卦] 老人很愛說：吃這麼鹹要洗腎嗎？,Sun Nov  1 11:04:34 2020
8,1,7,foreverthink (曹雞拜振恰倪嵐),[問卦] 該說台南綁人那個嫌犯算誠實嗎,Sun Nov  1 01:27:53 2020
46,15,31,XXXXGGYY ((4X鮑)),[新聞] 同志上告白警察徵友 警員竟留言5字下場被,Sun Nov  1 10:15:05 2020
1,1,0,ilw4e (可以吃嗎？),[問卦] 川普什麼時候說過白人至上?,Sun Nov  1 09:42:03 2020
2,2,0,ntlutw (Louis888),[問卦] 有罪，但當庭釋放？,Sun Nov  1 04:57:05 2020
1,0,1,hoyumi (正版型男...無誤!!!),[問卦] 你說的出五年前發生的大事嗎？,Sun Nov  1 00:33:48 2020
44,4,40,coga4712 (海森堡),[問卦] 黑袍糾察隊推薦嗎？,Sun Nov  1 00:35:10 2020
6,7,-1,medlife0830 (allen game),[新聞] 擄殺女大生！變態魔認了「先性侵後殺人,Sun Nov  1 10:43:14 2020
1,5,-4,MeeToo (迷途),[問卦] 法律人是不是很難當很為難,Sun Nov  1 09:18:49 2020
24,4,20,Workforme (′‧ω‧‵),[新聞] 為了討回五萬元債務...惡煞街頭暴力討債,Sun Nov  1 05:26:57 2020
5,1,4,s505015 (s505015b大),[新聞] 放任校安死角！長榮大學「未依規定通報」,Sun Nov  1 10:32:57 2020
8,1,7,WWIII (東邪西毒),[問卦] 今天健身房人好少 有什麼活動？,Sun Nov  1 00:36:15 2020
9,5,4,IamCuteGirl (CuteGirl5566),[問卦] 犯罪連坐全家的話 會抑制犯欲嗎,Sun Nov  1 09:50:06 2020
8,4,4,shampoopoo (毛寶洗髮精),[問卦] 肥宅有啥優勢?,Sun Nov  1 03:32:56 2020
4,2,2,odasaku (鹹魚),[問卦] 這個天氣484很適合曬被被,Sun Nov  1 09:24:34 2020
0,0,0,xinyi101 (小愛茶),[問卦] 知道一號鐵雄請注意的人都幾歲了,Sun Nov  1 11:33:58 2020
13,3,10,razghot1597 (卡拉姆恰),[問卦] 廢死是聖人嗎？,Sun Nov  1 08:49:53 2020
